Code,"Name",SubCategory,Block,Group
U+0000,"NULL",Cc,Basic Latin,Latin
U+0001,"START OF HEADING",Cc,Basic Latin,Latin
U+0002,"START OF TEXT",Cc,Basic Latin,Latin
U+0003,"END OF TEXT",Cc,Basic Latin,Latin
U+0004,"END OF TRANSMISSION",Cc,Basic Latin,Latin
U+0005,"ENQUIRY",Cc,Basic Latin,Latin
U+0006,"ACKNOWLEDGE",Cc,Basic Latin,Latin
U+0007,"BELL",Cc,Basic Latin,Latin
U+0008,"BACKSPACE",Cc,Basic Latin,Latin
U+0009,"CHARACTER TABULATION",Cc,Basic Latin,Latin
U+000A,"LINE FEED (LF)",Cc,Basic Latin,Latin
U+000B,"LINE TABULATION",Cc,Basic Latin,Latin
U+000C,"FORM FEED (FF)",Cc,Basic Latin,Latin
U+000D,"CARRIAGE RETURN (CR)",Cc,Basic Latin,Latin
U+000E,"SHIFT OUT",Cc,Basic Latin,Latin
U+000F,"SHIFT IN",Cc,Basic Latin,Latin
U+0010,"DATA LINK ESCAPE",Cc,Basic Latin,Latin
U+0011,"DEVICE CONTROL ONE",Cc,Basic Latin,Latin
U+0012,"DEVICE CONTROL TWO",Cc,Basic Latin,Latin
U+0013,"DEVICE CONTROL THREE",Cc,Basic Latin,Latin
U+0014,"DEVICE CONTROL FOUR",Cc,Basic Latin,Latin
U+0015,"NEGATIVE ACKNOWLEDGE",Cc,Basic Latin,Latin
U+0016,"SYNCHRONOUS IDLE",Cc,Basic Latin,Latin
U+0017,"END OF TRANSMISSION BLOCK",Cc,Basic Latin,Latin
U+0018,"CANCEL",Cc,Basic Latin,Latin
U+0019,"END OF MEDIUM",Cc,Basic Latin,Latin
U+001A,"SUBSTITUTE",Cc,Basic Latin,Latin
U+001B,"ESCAPE",Cc,Basic Latin,Latin
U+001C,"INFORMATION SEPARATOR FOUR",Cc,Basic Latin,Latin
U+001D,"INFORMATION SEPARATOR THREE",Cc,Basic Latin,Latin
U+001E,"INFORMATION SEPARATOR TWO",Cc,Basic Latin,Latin
U+001F,"INFORMATION SEPARATOR ONE",Cc,Basic Latin,Latin
U+0020,"SPACE",Zs,Basic Latin,Latin
U+0021,"EXCLAMATION MARK",Po,Basic Latin,Latin
U+0022,"QUOTATION MARK",Po,Basic Latin,Latin
U+0023,"NUMBER SIGN",Po,Basic Latin,Latin
U+0024,"DOLLAR SIGN",Sc,Basic Latin,Latin
U+0025,"PERCENT SIGN",Po,Basic Latin,Latin
U+0026,"AMPERSAND",Po,Basic Latin,Latin
U+0027,"APOSTROPHE",Po,Basic Latin,Latin
U+0028,"LEFT PARENTHESIS",Ps,Basic Latin,Latin
U+0029,"RIGHT PARENTHESIS",Pe,Basic Latin,Latin
U+002A,"ASTERISK",Po,Basic Latin,Latin
U+002B,"PLUS SIGN",Sm,Basic Latin,Latin
U+002C,"COMMA",Po,Basic Latin,Latin
U+002D,"HYPHEN-MINUS",Pd,Basic Latin,Latin
U+002E,"FULL STOP",Po,Basic Latin,Latin
U+002F,"SOLIDUS",Po,Basic Latin,Latin
U+0030,"DIGIT ZERO",Nd,Basic Latin,Latin
U+0031,"DIGIT ONE",Nd,Basic Latin,Latin
U+0032,"DIGIT TWO",Nd,Basic Latin,Latin
U+0033,"DIGIT THREE",Nd,Basic Latin,Latin
U+0034,"DIGIT FOUR",Nd,Basic Latin,Latin
U+0035,"DIGIT FIVE",Nd,Basic Latin,Latin
U+0036,"DIGIT SIX",Nd,Basic Latin,Latin
U+0037,"DIGIT SEVEN",Nd,Basic Latin,Latin
U+0038,"DIGIT EIGHT",Nd,Basic Latin,Latin
U+0039,"DIGIT NINE",Nd,Basic Latin,Latin
U+003A,"COLON",Po,Basic Latin,Latin
U+003B,"SEMICOLON",Po,Basic Latin,Latin
U+003C,"LESS-THAN SIGN",Sm,Basic Latin,Latin
U+003D,"EQUALS SIGN",Sm,Basic Latin,Latin
U+003E,"GREATER-THAN SIGN",Sm,Basic Latin,Latin
U+003F,"QUESTION MARK",Po,Basic Latin,Latin
U+0040,"COMMERCIAL AT",Po,Basic Latin,Latin
U+0041,"LATIN CAPITAL LETTER A",Lu,Basic Latin,Latin
U+0042,"LATIN CAPITAL LETTER B",Lu,Basic Latin,Latin
U+0043,"LATIN CAPITAL LETTER C",Lu,Basic Latin,Latin
